metric,value
timestamp_local,2026-09-21T02:10:26+08:00
project_dir,C:\Users\Admin\Documents\TinyRAG_AAAI27
os.system,Windows
os.release,10
os.version,10.0.26200
os.machine,AMD64
os.platform,Windows-10-10.0.26200-SP0
python.version,3.11.16
python.executable,C:\Users\Admin\miniconda3\envs\tinyrag\python.exe
cpu.name,"Intel64 Family 6 Model 166 Stepping 1, GenuineIntel"
cpu.physical_cores,4
cpu.logical_cores,8
cpu.current_percent,5.9
cpu.frequency_mhz_current,1803.0
cpu.frequency_mhz_min,0.0
cpu.frequency_mhz_max,2304.0
ram.total_gb,15.792
ram.available_gb,2.488
ram.used_gb,13.304
ram.percent_used,84.2
ram.free_gb,2.488
swap.total_gb,12.5
swap.used_gb,2.215
swap.free_gb,10.285
swap.percent_used,17.7
disk.path,C:\Users\Admin\Documents\TinyRAG_AAAI27
disk.total_gb,237.395
disk.used_gb,166.396
disk.free_gb,70.999
packages.torch,2.14.0+cpu
packages.transformers,unavailable (ImportError: DLL load failed while importing _regex: An Application Control policy has blocked this file.)
packages.sentence_transformers,unavailable (ImportError: DLL load failed while importing _regex: An Application Control policy has blocked this file.)
packages.numpy,2.4.6
packages.pandas,unavailable (ImportError: DLL load failed while importing ops_dispatch: An Application Control policy has blocked this file.)
packages.scikit_learn,unavailable (AttributeError: partially initialized module 'pandas' has no attribute '_pandas_datetime_CAPI' (most likely due to a circular import))
packages.psutil,7.2.2
packages.tabulate,0.10.0
pytorch_runtime.version,2.14.0+cpu
pytorch_runtime.cuda_available,False
pytorch_runtime.device,cpu
pytorch_runtime.num_threads,4
pytorch_runtime.num_interop_threads,4
current_process_memory.rss_gb,0.272
current_process_memory.vms_gb,0.681
current_process_memory.note,Current profile process only; not peak memory of the 500-question experiments.
project_cache.hf_cache_exists,True
project_cache.hf_cache_size_gb,3.276
project_cache.hf_cache_path,C:\Users\Admin\Documents\TinyRAG_AAAI27\hf_cache
paper_facts.cpu_only,True
paper_facts.total_ram_gb,15.792
paper_facts.physical_cores,4
paper_facts.logical_cores,8
paper_facts.pytorch_threads,4
paper_facts.pytorch_interop_threads,4
paper_facts.cuda_available,False
paper_facts.swap_used_gb_now,2.215
paper_facts.disk_free_gb,70.999
